first_name,last_name,doi,putcode,source,type,journal,volume,number,pages,issn,publisher,title,publication_year,romeo_colour,url_for_pdf,times_cited,authors
Yannick,Huot,10.3354/meps269101,45303385,Scopus - Elsevier,journal-article,Marine Ecology Progress Series,,,,0171-8630,Inter-Research Science Center,Spectrally weighted transparency in models of water-column photosynthesis and photoinhibition by ultraviolet radiation,2004,green,https://www.int-res.com/articles/meps2004/269/m269p101.pdf,15,"Lehmann, M.K.*Davis, R.F.*Huot, Y.*Cullen, J.J."
Yannick,Huot,10.1023/B:EXPA.0000038606.61377.c9,45303395,Scopus - Elsevier,journal-article,Experimental Astronomy,15,3,147-169,0922-6435,Springer Nature,Mechanical and thermal tests of the containers of liquid mirrors,2003,green,,2,"Borra, E.F.*Content, R.*Tremblay, G.*Daigle, A.*Huot, Y."
Yannick,Huot,10.1007/PL00001355,5093299,Scopus - Elsevier,journal-article,Aquatic Sciences,15,3,147-169,1015-1621,Springer Science and Business Media LLC,"Photosynthetic response of pico- and nanoplanktonic algae to UVB, UVA and PAR in a high mountain lake",2001,green,,26,
Yannick,Huot,10.1007/PL00001355,45303403,Scopus - Elsevier,journal-article,Aquatic Sciences,63,3,286-293,1015-1621,Springer Science and Business Media LLC,"Photosynthetic response of pico- and nanoplanktonic algae to UVB, UVA and PAR in a high mountain lake",2001,green,,26,"Callieri, C.*Morabito, G.*Huot, Y.*Neale, P.J.*Litchman, E."
Yannick,Huot,10.1007/PL00001354,5093300,Scopus - Elsevier,journal-article,Aquatic Sciences,63,3,286-293,1015-1621,Springer Science and Business Media LLC,Quantifying the response of phytoplankton photosynthesis to ultraviolet radiation: Biological weighting functions versus in situ measurements in two Swiss lakes,2001,green,,8,
Yannick,Huot,10.1007/PL00001354,45303394,Scopus - Elsevier,journal-article,Aquatic Sciences,63,3,265-285,1015-1621,Springer Science and Business Media LLC,Quantifying the response of phytoplankton photosynthesis to ultraviolet radiation: Biological weighting functions versus in situ measurements in two Swiss lakes,2001,green,,8,"Neale, P.J.*Litchman, E.*Sobrino, C.*Callieri, C.*Morabito, G.*Montecino, V.*Huot, Y.*Bossard, P.*Lehmann, C.*Steiner, D."
Yannick,Huot,10.1007/s00027-001-8038-5,5093288,Scopus - Elsevier,journal-article,,63,3,265-285,,Springer Science and Business Media LLC,,2001,,,12,
Yannick,Huot,10.1007/s00027-001-8038-5,45303408,Scopus - Elsevier,journal-article,,63,3,250-264,,Springer Science and Business Media LLC,Incident and in situ irradiance in Lakes Cadagno and Lucerne: A comparison of methods and models,2001,,,12,"Neale, P.J.*Bossard, P.*Huot, Y.*Sommaruga, R."
Yannick,Huot,10.1562/0031-8655(2000)072<0062:DTDIBA>2.0.CO;2,5093292,Scopus - Elsevier,journal-article,Photochemistry and Photobiology,63,3,250-264,0031-8655,Wiley,Damage to DNA in Bacterioplankton: A Model of Damage by Ultraviolet Radiation and its Repair as Influenced by Vertical Mixing¶,2000,yellow,,25,
Yannick,Huot,10.1562/0031-8655(2000)072&lt;0062:DTDIBA&gt;2.0.CO;2,45303389,Scopus - Elsevier,journal-article,,72,1,62-74,,,Damage to DNA in bacterioplankton: A model of damage by ultraviolet radiation and its repair as influenced by vertical mixing,2000,,,,"Huot, Y.*Jeffrey, W.H.*Davis, R.F.*Cullen, J.J."
